numAGVs	PlanCost
80	36207500
80	40893100
80	33191100
80	33355300
80	42158300
80	32220300
80	33284900
80	33058300
80	29351600
80	39489700
80	35832400
80	36662800
80	36590600
80	25729300
80	33748400
80	34730900
80	44200400
80	39118600
80	36099000
80	34034700
80	33658700
80	34904700
80	47450300
80	32295300
80	32913900
80	28145400
80	34386300
80	33645000
80	38223900
80	32682600
80	32895200
80	43242400
80	36236300
80	32990800
80	29653500
80	31739500
80	36518900
80	32862200
80	31248200
80	47266800
80	36617100
80	31957000
80	34599300
80	31043700
80	40050900
80	35838900
80	37528900
80	39827400
80	26516300
80	32883300
80	34170300
80	31035900
80	34383800
80	29027900
80	32976100
80	35287300
80	34058800
80	34535700
80	33046600
80	43555900
80	29346300
80	37191800
80	38327600
80	32262600
80	37204100
80	40282600
80	31810300
80	32488800
80	39261700
80	30887300
80	32961500
80	35221300
80	37828000
80	37752600
80	33489400
80	38479600
80	43087900
80	35660200
80	39512500
80	37377300
80	34267700
80	40397300
80	35553800
90	40322000
90	29835300
90	37972200
90	41666300
90	43888900
90	38709100
90	40550200
90	43038200
90	44949300
90	45592400
90	35195300
90	40481300
90	40735000
90	40990200
90	30890000
90	39392200
90	48913100
90	40151300
90	39088900
90	45045600
90	40184800
90	37469300
90	38498800
90	41017800
90	41677700
90	43811300
90	42675800
90	40827600
90	36767500
90	43204500
90	49926700
90	41224000
90	36809700
90	35873500
90	36220000
90	40377400
90	35137200
90	35558100
90	40369400
90	43509700
90	39128800
90	39602100
90	33850900
90	46111900
90	49126700
90	40916200
90	36137800
90	51124300
90	35421700
90	37315100
90	39222800
90	37549400
90	50601200
90	40957800
90	39344400
90	48045000
90	38669200
90	35712500
90	37617700
90	46723400
90	51336400
90	36348800
90	32631500
90	43022500
90	41359200
90	41521400
90	36261700
90	46881200
90	45236700
90	43070200
90	39708500
90	53528800
90	45154800
90	38626500
90	40633200
90	48666400
90	42187300
90	38706100
90	39818700
90	40450400
90	33999400
90	39149100
90	41042600
90	36328200
90	44968500
90	49290700
90	43140300
90	38809300
90	40520800
90	37893600
90	38464400
90	43530400
90	31459600
90	45878000
90	41617900
90	33202300
90	34996200
90	40434200
90	39371400
90	31831700
100	51962800
100	44614600
100	44110600
100	42851900
100	58245800
100	44820900
100	48435200
100	48512700
100	53146200
100	53177200
100	35299900
100	46595900
100	46109600
100	48916100
100	49780700
100	45081600
100	42945000
100	45274000
100	38065700
100	34923000
100	49878800
100	40901200
100	53372100
100	54671200
100	46710800
100	49011100
100	56931200
100	40677200
100	51896300
100	42606200
100	51363900
100	43889300
100	51261300
100	48321900
100	49205700
100	53942600
100	44824800
100	42125600
100	42329200
100	49688100
100	48281300
100	49162400
100	49983100
100	40204100
100	51120400
100	48105000
100	45427400
100	45549600
100	47373500
100	51844100
100	48117800
100	48252600
100	46836800
100	46857100
100	41785100
100	42661400
100	55363100
100	46125200
100	48949300
100	51464000
100	45945500
100	52995000
100	54071600
100	44418600
100	45168400
100	49250400
100	49620000
100	35410500
100	41892400
100	41911800
100	45952000
100	46470300
100	54327300
100	45098000
100	51324100
100	42350900
100	43657800
100	42840800
100	53485200
100	43239700
100	39233300
100	54823500
100	47490900
100	46922500
100	46162600
100	49146000
100	43461200
100	46927300
100	44007500
100	47758500
100	47449600
100	48993500
100	38023900
100	55793100
100	47846700
100	48654100
100	41057000
100	49261700
100	44130100
100	55184200
